序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
156,ISOMETRIC 450 ISO450 ISO系列,YONEX ISOMETRIC 450,YONEX,尤尼克斯,ISOMETRIC 450,YONEX ISOMETRIC 450,ISOMETRIC 450 ISO450 ISO系列；YONEX ISOMETRIC 450；ISO450,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-450,YONEX ISOMETRIC 450,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
157,ISOMETRIC 60 MF LIGHT ISO系列,YONEX ISOMETRIC 60,YONEX,尤尼克斯,ISOMETRIC 60,YONEX ISOMETRIC 60,ISOMETRIC 60 MF LIGHT ISO系列；YONEX ISOMETRIC 60,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-60,YONEX ISOMETRIC 60,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
158,ISOMETRIC 63MF ISO63MF ISO,YONEX ISOMETRIC 63MF,YONEX,尤尼克斯,ISOMETRIC 63MF,YONEX ISOMETRIC 63MF,ISOMETRIC 63MF ISO63MF ISO；YONEX ISOMETRIC 63MF；ISO63MF,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-63MF,YONEX ISOMETRIC 63MF,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
159,ISOMETRIC 65LT ISO65 ISO系列,YONEX ISOMETRIC 65LT,YONEX,尤尼克斯,ISOMETRIC 65LT,YONEX ISOMETRIC 65LT,ISOMETRIC 65LT ISO65 ISO系列；YONEX ISOMETRIC 65LT；ISO65,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-65LT,YONEX ISOMETRIC 65LT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
160,ISOMETRIC 750 MS ISO,YONEX ISOMETRIC 750,YONEX,尤尼克斯,ISOMETRIC 750,YONEX ISOMETRIC 750,ISOMETRIC 750 MS ISO；YONEX ISOMETRIC 750,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-750,YONEX ISOMETRIC 750,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
161,ISOMETRIC 75MFLT ISO75 ISO系列,YONEX ISOMETRIC 75MFLT,YONEX,尤尼克斯,ISOMETRIC 75MFLT,YONEX ISOMETRIC 75MFLT,ISOMETRIC 75MFLT ISO75 ISO系列；YONEX ISOMETRIC 75MFLT；ISO75,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-75MFLT,YONEX ISOMETRIC 75MFLT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
162,ISOMETRIC 80VF ISO,YONEX ISOMETRIC 80VF,YONEX,尤尼克斯,ISOMETRIC 80VF,YONEX ISOMETRIC 80VF,ISOMETRIC 80VF ISO；YONEX ISOMETRIC 80VF,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-80VF,YONEX ISOMETRIC 80VF,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
163,ISOMETRIC 87VF ISO,YONEX ISOMETRIC 87VF,YONEX,尤尼克斯,ISOMETRIC 87VF,YONEX ISOMETRIC 87VF,ISOMETRIC 87VF ISO；YONEX ISOMETRIC 87VF,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-87VF,YONEX ISOMETRIC 87VF,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
164,ISOMETRIC AL ISOAL ISO,YONEX ISOMETRIC AL,YONEX,尤尼克斯,ISOMETRIC AL,YONEX ISOMETRIC AL,ISOMETRIC AL ISOAL ISO；YONEX ISOMETRIC AL,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-AL,YONEX ISOMETRIC AL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
165,ISOMETRIC AP ISOAP ISO,YONEX ISOMETRIC AP,YONEX,尤尼克斯,ISOMETRIC AP,YONEX ISOMETRIC AP,ISOMETRIC AP ISOAP ISO；YONEX ISOMETRIC AP,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-AP,YONEX ISOMETRIC AP,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
166,ISOMETRIC B 6000 ISO,YONEX ISOMETRIC B 6000,YONEX,尤尼克斯,ISOMETRIC B 6000,YONEX ISOMETRIC B 6000,ISOMETRIC B 6000 ISO；YONEX ISOMETRIC B 6000；B6000,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-B-6000,YONEX ISOMETRIC B 6000,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
167,ISOMETRIC BETA1 ISOBETA1 ISO,YONEX ISOMETRIC BETA1,YONEX,尤尼克斯,ISOMETRIC BETA1,YONEX ISOMETRIC BETA1,ISOMETRIC BETA1 ISOBETA1 ISO；YONEX ISOMETRIC BETA1；BETA1；ISOBETA1,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-BETA1,YONEX ISOMETRIC BETA1,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
168,ISOMETRIC LITE2 ISO,YONEX ISOMETRIC LITE2,YONEX,尤尼克斯,ISOMETRIC LITE2,YONEX ISOMETRIC LITE2,ISOMETRIC LITE2 ISO；YONEX ISOMETRIC LITE2；LITE2,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-LITE2,YONEX ISOMETRIC LITE2,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
169,ISOMETRIC OMEGA 6 ISO,YONEX ISOMETRIC OMEGA 6,YONEX,尤尼克斯,ISOMETRIC OMEGA 6,YONEX ISOMETRIC OMEGA 6,ISOMETRIC OMEGA 6 ISO；YONEX ISOMETRIC OMEGA 6；OMEGA6,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-OMEGA-6,YONEX ISOMETRIC OMEGA 6,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
170,ISOMETRIC OMEGA5 ISO5 ISO,YONEX ISOMETRIC OMEGA5,YONEX,尤尼克斯,ISOMETRIC OMEGA5,YONEX ISOMETRIC OMEGA5,ISOMETRIC OMEGA5 ISO5 ISO；YONEX ISOMETRIC OMEGA5；OMEGA5；ISO5,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-OMEGA5,YONEX ISOMETRIC OMEGA5,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
171,ISOMETRIC POWER 600 ISOPOWER600 ISO,YONEX ISOMETRIC POWER 600,YONEX,尤尼克斯,ISOMETRIC POWER 600,YONEX ISOMETRIC POWER 600,ISOMETRIC POWER 600 ISOPOWER600 ISO；YONEX ISOMETRIC POWER 600；POWER600；ISOPOWER600,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-POWER-600,YONEX ISOMETRIC POWER 600,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
172,ISOMETRIC PRO 800 ISO800 ISO系列,YONEX ISOMETRIC PRO 800,YONEX,尤尼克斯,ISOMETRIC PRO 800,YONEX ISOMETRIC PRO 800,ISOMETRIC PRO 800 ISO800 ISO系列；YONEX ISOMETRIC PRO 800；PRO800；ISO800,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-PRO-800,YONEX ISOMETRIC PRO 800,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
173,ISOMETRIC Slim,YONEX ISOMETRIC SLIM,YONEX,尤尼克斯,ISOMETRIC SLIM,YONEX ISOMETRIC SLIM,ISOMETRIC Slim；YONEX ISOMETRIC SLIM,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SLIM,YONEX ISOMETRIC SLIM,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
174,ISOMETRIC Swing Power 500 IOS500 IOS,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,ISOMETRIC Swing Power 500 IOS500 IOS；YONEX ISOMETRIC SWING POWER 900；POWER500；IOS500,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
175,ISOMETRIC TOUR 800 ISO800 ISO系列,YONEX ISOMETRIC TOUR 800,YONEX,尤尼克斯,ISOMETRIC TOUR 800,YONEX ISOMETRIC TOUR 800,ISOMETRIC TOUR 800 ISO800 ISO系列；YONEX ISOMETRIC TOUR 800；TOUR800；ISO800,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-TOUR-800,YONEX ISOMETRIC TOUR 800,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
176,ISOMETRIC TR1 ISO,YONEX ISOMETRIC TR1,YONEX,尤尼克斯,ISOMETRIC TR1,YONEX ISOMETRIC TR1,ISOMETRIC TR1 ISO；YONEX ISOMETRIC TR1；TR1,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-TR1,YONEX ISOMETRIC TR1,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
177,ISOMETRIC TRO ISO,YONEX ISOMETRIC TRO,YONEX,尤尼克斯,ISOMETRIC TRO,YONEX ISOMETRIC TRO,ISOMETRIC TRO ISO；YONEX ISOMETRIC TRO,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-TRO,YONEX ISOMETRIC TRO,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
178,ISOMETRIC Ti,YONEX ISOMETRIC TI SWING POWER,YONEX,尤尼克斯,ISOMETRIC TI SWING POWER,YONEX ISOMETRIC TI SWING POWER,ISOMETRIC Ti；YONEX ISOMETRIC TI SWING POWER,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-TI,YONEX ISOMETRIC TI SWING POWER,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
179,ISOMETRIC Z ISO,YONEX ISOMETRIC Z,YONEX,尤尼克斯,ISOMETRIC Z,YONEX ISOMETRIC Z,ISOMETRIC Z ISO；YONEX ISOMETRIC Z,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-Z,YONEX ISOMETRIC Z,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
180,ISOMETRIC ZL ISOZL ISO,YONEX ISOMETRIC ZL,YONEX,尤尼克斯,ISOMETRIC ZL,YONEX ISOMETRIC ZL,ISOMETRIC ZL ISOZL ISO；YONEX ISOMETRIC ZL,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-ZL,YONEX ISOMETRIC ZL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
181,ISOMETRIC ZT ISOZT ISO,YONEX ISOMETRIC ZT,YONEX,尤尼克斯,ISOMETRIC ZT,YONEX ISOMETRIC ZT,ISOMETRIC ZT ISOZT ISO；YONEX ISOMETRIC ZT,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-ZT,YONEX ISOMETRIC ZT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
182,ISOMETRIC delta 4 ISO,YONEX ISOMETRIC DELTA 4,YONEX,尤尼克斯,ISOMETRIC DELTA 4,YONEX ISOMETRIC DELTA 4,ISOMETRIC delta 4 ISO；YONEX ISOMETRIC DELTA 4；DELTA4,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-DELTA-4,YONEX ISOMETRIC DELTA 4,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
183,Isometric 22 JR iso22jr ISO系列,YONEX ISOMETRIC 22 JR,YONEX,尤尼克斯,ISOMETRIC 22 JR,YONEX ISOMETRIC 22 JR,Isometric 22 JR iso22jr ISO系列；YONEX ISOMETRIC 22 JR；ISO22JR,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-22-JR,YONEX ISOMETRIC 22 JR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
184,Isometric 65 Light IOS65L IOS,YONEX ISOMETRIC 65 LIGHT,YONEX,尤尼克斯,ISOMETRIC 65 LIGHT,YONEX ISOMETRIC 65 LIGHT,Isometric 65 Light IOS65L IOS；YONEX ISOMETRIC 65 LIGHT；IOS65L,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-65-LIGHT,YONEX ISOMETRIC 65 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
185,Isometric Swing Power 900 ISO900 ISO,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,Isometric Swing Power 900 ISO900 ISO；YONEX ISOMETRIC SWING POWER 900；POWER900；ISO900,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
186,Isometric Zeta Lee Chong Wei ISOZLCW ISO系列,YONEX ISOMETRIC ZETA,YONEX,尤尼克斯,ISOMETRIC ZETA,YONEX ISOMETRIC ZETA,Isometric Zeta Lee Chong Wei ISOZLCW ISO系列；YONEX ISOMETRIC ZETA,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-ZETA,YONEX ISOMETRIC ZETA,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
187,SUPER ISOMETRIC 10 iso10 iso,YONEX ISOMETRIC 10,YONEX,尤尼克斯,ISOMETRIC 10,YONEX ISOMETRIC 10,SUPER ISOMETRIC 10 iso10 iso；YONEX ISOMETRIC 10；ISO10,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-10,YONEX ISOMETRIC 10,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
188,SUPER ISOMETRIC 9 Long ISO9 ISO系列,YONEX ISOMETRIC 9 LONG,YONEX,尤尼克斯,ISOMETRIC 9 LONG,YONEX ISOMETRIC 9 LONG,SUPER ISOMETRIC 9 Long ISO9 ISO系列；YONEX ISOMETRIC 9 LONG；ISO9,300,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-9-LONG,YONEX ISOMETRIC 9 LONG,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
189,isometric Pro 700 long iso,YONEX ISOMETRIC PRO 700 LONG,YONEX,尤尼克斯,ISOMETRIC PRO 700 LONG,YONEX ISOMETRIC PRO 700 LONG,isometric Pro 700 long iso；YONEX ISOMETRIC PRO 700 LONG；PRO700,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-PRO-700-LONG,YONEX ISOMETRIC PRO 700 LONG,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
190,MUSCLE POWER 010 MP010 MP系列,YONEX MUSCLE POWER 010,YONEX,尤尼克斯,MUSCLE POWER 010,YONEX MUSCLE POWER 010,MUSCLE POWER 010 MP010 MP系列；YONEX MUSCLE POWER 010；POWER010；MP010,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-010,YONEX MUSCLE POWER 010,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
191,MUSCLE POWER 10 Light MP,YONEX MUSCLE POWER 10 LIGHT,YONEX,尤尼克斯,MUSCLE POWER 10 LIGHT,YONEX MUSCLE POWER 10 LIGHT,MUSCLE POWER 10 Light MP；YONEX MUSCLE POWER 10 LIGHT；POWER10,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-10-LIGHT,YONEX MUSCLE POWER 10 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
192,MUSCLE POWER 100 MP,YONEX MUSCLE POWER 100,YONEX,尤尼克斯,MUSCLE POWER 100,YONEX MUSCLE POWER 100,MUSCLE POWER 100 MP；YONEX MUSCLE POWER 100；POWER100,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-100,YONEX MUSCLE POWER 100,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
193,MUSCLE POWER 18 MP18 MP,YONEX MUSCLE POWER 18,YONEX,尤尼克斯,MUSCLE POWER 18,YONEX MUSCLE POWER 18,MUSCLE POWER 18 MP18 MP；YONEX MUSCLE POWER 18；POWER18；MP18,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-18,YONEX MUSCLE POWER 18,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
194,MUSCLE POWER 2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP；YONEX MUSCLE POWER 2；POWER2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
195,MUSCLE POWER 2 MP2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP2 MP；YONEX MUSCLE POWER 2；POWER2；MP2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
196,MUSCLE POWER 22 LT MP,YONEX MUSCLE POWER 22 LT,YONEX,尤尼克斯,MUSCLE POWER 22 LT,YONEX MUSCLE POWER 22 LT,MUSCLE POWER 22 LT MP；YONEX MUSCLE POWER 22 LT；POWER22,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22-LT,YONEX MUSCLE POWER 22 LT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
197,MUSCLE POWER 22 MP22 mp,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 MP22 mp；YONEX MUSCLE POWER 22；POWER22；MP22,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
198,MUSCLE POWER 22 PLUS MP22PLUS MP系列,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 PLUS MP22PLUS MP系列；YONEX MUSCLE POWER 22；POWER22；MP22PLUS,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
199,MUSCLE POWER 23 MP23POWER MP,YONEX MUSCLE POWER 23,YONEX,尤尼克斯,MUSCLE POWER 23,YONEX MUSCLE POWER 23,MUSCLE POWER 23 MP23POWER MP；YONEX MUSCLE POWER 23；POWER23；MP23POWER,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-23,YONEX MUSCLE POWER 23,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
200,MUSCLE POWER 24 MP24 MP,YONEX MUSCLE POWER 24,YONEX,尤尼克斯,MUSCLE POWER 24,YONEX MUSCLE POWER 24,MUSCLE POWER 24 MP24 MP；YONEX MUSCLE POWER 24；POWER24；MP24,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-24,YONEX MUSCLE POWER 24,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
201,MUSCLE POWER 28 MP28 MP系列,YONEX MUSCLE POWER 28,YONEX,尤尼克斯,MUSCLE POWER 28,YONEX MUSCLE POWER 28,MUSCLE POWER 28 MP28 MP系列；YONEX MUSCLE POWER 28；POWER28；MP28,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-28,YONEX MUSCLE POWER 28,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
202,MUSCLE POWER 29 LIGHT MP29LT MP系列,YONEX MUSCLE POWER 29 LIGHT,YONEX,尤尼克斯,MUSCLE POWER 29 LIGHT,YONEX MUSCLE POWER 29 LIGHT,MUSCLE POWER 29 LIGHT MP29LT MP系列；YONEX MUSCLE POWER 29 LIGHT；POWER29；MP29LT,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-29-LIGHT,YONEX MUSCLE POWER 29 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
203,MUSCLE POWER 30 MP30 MP,YONEX MUSCLE POWER 30,YONEX,尤尼克斯,MUSCLE POWER 30,YONEX MUSCLE POWER 30,MUSCLE POWER 30 MP30 MP；YONEX MUSCLE POWER 30；POWER30；MP30,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-30,YONEX MUSCLE POWER 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
204,MUSCLE POWER 33 MP,YONEX MUSCLE POWER 33,YONEX,尤尼克斯,MUSCLE POWER 33,YONEX MUSCLE POWER 33,MUSCLE POWER 33 MP；YONEX MUSCLE POWER 33；POWER33,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-33,YONEX MUSCLE POWER 33,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
205,MUSCLE POWER 44 MP,YONEX MUSCLE POWER 44,YONEX,尤尼克斯,MUSCLE POWER 44,YONEX MUSCLE POWER 44,MUSCLE POWER 44 MP；YONEX MUSCLE POWER 44；POWER44,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-44,YONEX MUSCLE POWER 44,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
206,MUSCLE POWER 45 MP,YONEX MUSCLE POWER 45,YONEX,尤尼克斯,MUSCLE POWER 45,YONEX MUSCLE POWER 45,MUSCLE POWER 45 MP；YONEX MUSCLE POWER 45；POWER45,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-45,YONEX MUSCLE POWER 45,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
207,MUSCLE POWER 5 LT MP5LTG MP系列,YONEX MUSCLE POWER 5 LT,YONEX,尤尼克斯,MUSCLE POWER 5 LT,YONEX MUSCLE POWER 5 LT,MUSCLE POWER 5 LT MP5LTG MP系列；YONEX MUSCLE POWER 5 LT；POWER5；MP5LTG,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-5-LT,YONEX MUSCLE POWER 5 LT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
208,MUSCLE POWER 5 MP5 MP,YONEX MUSCLE POWER 5,YONEX,尤尼克斯,MUSCLE POWER 5,YONEX MUSCLE POWER 5,MUSCLE POWER 5 MP5 MP；YONEX MUSCLE POWER 5；POWER5；MP5,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-5,YONEX MUSCLE POWER 5,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
209,MUSCLE POWER 55 MP55 MP,YONEX MUSCLE POWER 55,YONEX,尤尼克斯,MUSCLE POWER 55,YONEX MUSCLE POWER 55,MUSCLE POWER 55 MP55 MP；YONEX MUSCLE POWER 55；POWER55；MP55,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-55,YONEX MUSCLE POWER 55,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
210,MUSCLE POWER 630 MP630 MP,YONEX MUSCLE POWER 630,YONEX,尤尼克斯,MUSCLE POWER 630,YONEX MUSCLE POWER 630,MUSCLE POWER 630 MP630 MP；YONEX MUSCLE POWER 630；POWER630；MP630,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-630,YONEX MUSCLE POWER 630,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
211,MUSCLE POWER 66 MP,YONEX MUSCLE POWER 66,YONEX,尤尼克斯,MUSCLE POWER 66,YONEX MUSCLE POWER 66,MUSCLE POWER 66 MP；YONEX MUSCLE POWER 66；POWER66,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-66,YONEX MUSCLE POWER 66,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
212,MUSCLE POWER 7 MP,YONEX MUSCLE POWER 7,YONEX,尤尼克斯,MUSCLE POWER 7,YONEX MUSCLE POWER 7,MUSCLE POWER 7 MP；YONEX MUSCLE POWER 7；POWER7,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-7,YONEX MUSCLE POWER 7,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
213,MUSCLE POWER 700 MP700 MP,YONEX MUSCLE POWER 700,YONEX,尤尼克斯,MUSCLE POWER 700,YONEX MUSCLE POWER 700,MUSCLE POWER 700 MP700 MP；YONEX MUSCLE POWER 700；POWER700；MP700,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-700,YONEX MUSCLE POWER 700,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
214,MUSCLE POWER 77 MP,YONEX MUSCLE POWER 77,YONEX,尤尼克斯,MUSCLE POWER 77,YONEX MUSCLE POWER 77,MUSCLE POWER 77 MP；YONEX MUSCLE POWER 77；POWER77,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-77,YONEX MUSCLE POWER 77,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
